hour,dow,line,updnLine,congestion
5,MON,1,0,16.333333333333332
6,MON,1,0,28.0
7,MON,1,0,77.66666666666667
8,MON,1,0,118.5
9,MON,1,0,76.0
10,MON,1,0,44.833333333333336
11,MON,1,0,37.833333333333336
12,MON,1,0,38.333333333333336
13,MON,1,0,37.666666666666664
14,MON,1,0,27.0
15,MON,1,0,30.5
16,MON,1,0,29.0
17,MON,1,0,35.5
18,MON,1,0,53.0
19,MON,1,0,29.333333333333332
20,MON,1,0,23.666666666666668
21,MON,1,0,21.0
22,MON,1,0,17.666666666666668
23,MON,1,0,13.333333333333334
5,TUE,1,0,17.333333333333332
6,TUE,1,0,26.0
7,TUE,1,0,72.83333333333333
8,TUE,1,0,116.16666666666667
9,TUE,1,0,76.33333333333333
10,TUE,1,0,47.666666666666664
11,TUE,1,0,39.5
12,TUE,1,0,38.166666666666664
13,TUE,1,0,36.833333333333336
14,TUE,1,0,27.166666666666668
15,TUE,1,0,32.333333333333336
16,TUE,1,0,31.5
17,TUE,1,0,36.5
18,TUE,1,0,55.5
19,TUE,1,0,31.166666666666668
20,TUE,1,0,23.833333333333332
21,TUE,1,0,25.166666666666668
22,TUE,1,0,22.5
23,TUE,1,0,14.0
5,WED,1,0,18.0
6,WED,1,0,25.5
7,WED,1,0,72.16666666666667
8,WED,1,0,112.33333333333333
9,WED,1,0,76.16666666666667
10,WED,1,0,46.833333333333336
11,WED,1,0,38.666666666666664
12,WED,1,0,40.166666666666664
13,WED,1,0,38.333333333333336
14,WED,1,0,29.333333333333332
15,WED,1,0,31.666666666666668
16,WED,1,0,32.166666666666664
17,WED,1,0,37.666666666666664
18,WED,1,0,54.5
19,WED,1,0,33.5
20,WED,1,0,25.0
21,WED,1,0,24.666666666666668
22,WED,1,0,24.333333333333332
23,WED,1,0,16.166666666666668
5,THU,1,0,16.666666666666668
6,THU,1,0,25.333333333333332
7,THU,1,0,68.0
8,THU,1,0,102.66666666666667
9,THU,1,0,71.33333333333333
10,THU,1,0,43.5
11,THU,1,0,35.666666666666664
12,THU,1,0,36.833333333333336
13,THU,1,0,33.5
14,THU,1,0,26.166666666666668
15,THU,1,0,30.166666666666668
16,THU,1,0,30.5
17,THU,1,0,36.166666666666664
18,THU,1,0,49.166666666666664
19,THU,1,0,29.333333333333332
20,THU,1,0,22.666666666666668
21,THU,1,0,23.666666666666668
22,THU,1,0,23.166666666666668
23,THU,1,0,14.666666666666666
5,FRI,1,0,15.666666666666666
6,FRI,1,0,29.666666666666668
7,FRI,1,0,65.16666666666667
8,FRI,1,0,97.66666666666667
9,FRI,1,0,67.0
10,FRI,1,0,48.5
11,FRI,1,0,39.166666666666664
12,FRI,1,0,42.333333333333336
13,FRI,1,0,45.0
14,FRI,1,0,33.0
15,FRI,1,0,41.5
16,FRI,1,0,40.166666666666664
17,FRI,1,0,45.166666666666664
18,FRI,1,0,58.0
19,FRI,1,0,38.5
20,FRI,1,0,31.166666666666668
21,FRI,1,0,29.666666666666668
22,FRI,1,0,26.666666666666668
23,FRI,1,0,20.833333333333332
5,SAT,1,0,22.0
6,SAT,1,0,20.333333333333332
7,SAT,1,0,18.166666666666668
8,SAT,1,0,31.166666666666668
9,SAT,1,0,46.0
10,SAT,1,0,51.333333333333336
11,SAT,1,0,54.333333333333336
12,SAT,1,0,53.666666666666664
13,SAT,1,0,53.333333333333336
14,SAT,1,0,41.0
15,SAT,1,0,45.833333333333336
16,SAT,1,0,43.666666666666664
17,SAT,1,0,40.0
18,SAT,1,0,28.666666666666668
19,SAT,1,0,24.166666666666668
20,SAT,1,0,22.5
21,SAT,1,0,26.666666666666668
22,SAT,1,0,22.5
23,SAT,1,0,16.5
5,SUN,1,0,11.333333333333334
6,SUN,1,0,11.666666666666666
7,SUN,1,0,11.5
8,SUN,1,0,20.666666666666668
9,SUN,1,0,30.666666666666668
10,SUN,1,0,34.666666666666664
11,SUN,1,0,38.166666666666664
12,SUN,1,0,41.0
13,SUN,1,0,40.666666666666664
14,SUN,1,0,32.0
15,SUN,1,0,37.833333333333336
16,SUN,1,0,31.5
17,SUN,1,0,32.166666666666664
18,SUN,1,0,23.833333333333332
19,SUN,1,0,21.166666666666668
20,SUN,1,0,25.333333333333332
21,SUN,1,0,27.166666666666668
22,SUN,1,0,20.666666666666668
23,SUN,1,0,16.333333333333332
5,MON,1,1,18.0
6,MON,1,1,29.0
7,MON,1,1,43.0
8,MON,1,1,48.166666666666664
9,MON,1,1,37.666666666666664
10,MON,1,1,31.0
11,MON,1,1,23.833333333333332
12,MON,1,1,26.0
13,MON,1,1,25.666666666666668
14,MON,1,1,30.0
15,MON,1,1,41.833333333333336
16,MON,1,1,53.833333333333336
17,MON,1,1,63.333333333333336
18,MON,1,1,70.33333333333333
19,MON,1,1,37.333333333333336
20,MON,1,1,33.166666666666664
21,MON,1,1,30.5
22,MON,1,1,27.166666666666668
23,MON,1,1,18.0
5,TUE,1,1,15.666666666666666
6,TUE,1,1,24.666666666666668
7,TUE,1,1,41.166666666666664
8,TUE,1,1,53.5
9,TUE,1,1,34.666666666666664
10,TUE,1,1,24.833333333333332
11,TUE,1,1,24.5
12,TUE,1,1,27.5
13,TUE,1,1,27.333333333333332
14,TUE,1,1,31.666666666666668
15,TUE,1,1,44.333333333333336
16,TUE,1,1,64.83333333333333
17,TUE,1,1,63.666666666666664
18,TUE,1,1,69.16666666666667
19,TUE,1,1,58.833333333333336
20,TUE,1,1,34.666666666666664
21,TUE,1,1,32.166666666666664
22,TUE,1,1,29.666666666666668
23,TUE,1,1,20.0
5,WED,1,1,15.0
6,WED,1,1,26.0
7,WED,1,1,39.833333333333336
8,WED,1,1,49.166666666666664
9,WED,1,1,28.333333333333332
10,WED,1,1,23.0
11,WED,1,1,23.666666666666668
12,WED,1,1,24.833333333333332
13,WED,1,1,28.666666666666668
14,WED,1,1,31.5
15,WED,1,1,44.166666666666664
16,WED,1,1,54.333333333333336
17,WED,1,1,71.16666666666667
18,WED,1,1,92.16666666666667
19,WED,1,1,55.5
20,WED,1,1,35.0
21,WED,1,1,32.666666666666664
22,WED,1,1,30.166666666666668
23,WED,1,1,19.333333333333332
5,THU,1,1,15.333333333333334
6,THU,1,1,23.666666666666668
7,THU,1,1,36.833333333333336
8,THU,1,1,48.166666666666664
9,THU,1,1,35.0
10,THU,1,1,31.0
11,THU,1,1,24.5
12,THU,1,1,25.5
13,THU,1,1,24.5
14,THU,1,1,30.5
15,THU,1,1,42.166666666666664
16,THU,1,1,56.166666666666664
17,THU,1,1,55.833333333333336
18,THU,1,1,69.5
19,THU,1,1,38.0
20,THU,1,1,31.5
21,THU,1,1,32.5
22,THU,1,1,31.666666666666668
23,THU,1,1,21.166666666666668
5,FRI,1,1,15.666666666666666
6,FRI,1,1,25.166666666666668
7,FRI,1,1,38.5
8,FRI,1,1,51.0
9,FRI,1,1,25.0
10,FRI,1,1,30.666666666666668
11,FRI,1,1,25.666666666666668
12,FRI,1,1,29.833333333333332
13,FRI,1,1,31.5
14,FRI,1,1,36.333333333333336
15,FRI,1,1,50.166666666666664
16,FRI,1,1,69.33333333333333
17,FRI,1,1,72.5
18,FRI,1,1,72.5
19,FRI,1,1,40.666666666666664
20,FRI,1,1,34.166666666666664
21,FRI,1,1,32.0
22,FRI,1,1,37.0
23,FRI,1,1,21.333333333333332
5,SAT,1,1,11.0
6,SAT,1,1,11.833333333333334
7,SAT,1,1,14.5
8,SAT,1,1,20.333333333333332
9,SAT,1,1,26.0
10,SAT,1,1,30.166666666666668
11,SAT,1,1,31.166666666666668
12,SAT,1,1,36.166666666666664
13,SAT,1,1,39.833333333333336
14,SAT,1,1,47.0
15,SAT,1,1,39.666666666666664
16,SAT,1,1,37.666666666666664
17,SAT,1,1,41.166666666666664
18,SAT,1,1,41.666666666666664
19,SAT,1,1,31.333333333333332
20,SAT,1,1,30.666666666666668
21,SAT,1,1,30.333333333333332
22,SAT,1,1,24.166666666666668
23,SAT,1,1,16.833333333333332
5,SUN,1,1,6.0
6,SUN,1,1,6.833333333333333
7,SUN,1,1,8.833333333333334
8,SUN,1,1,14.0
9,SUN,1,1,19.833333333333332
10,SUN,1,1,22.5
11,SUN,1,1,24.333333333333332
12,SUN,1,1,28.833333333333332
13,SUN,1,1,31.833333333333332
14,SUN,1,1,38.333333333333336
15,SUN,1,1,30.833333333333332
16,SUN,1,1,30.833333333333332
17,SUN,1,1,31.166666666666668
18,SUN,1,1,31.166666666666668
19,SUN,1,1,26.5
20,SUN,1,1,23.833333333333332
21,SUN,1,1,21.666666666666668
22,SUN,1,1,15.0
23,SUN,1,1,8.5
5,MON,4,0,15.333333333333334
6,MON,4,0,19.166666666666668
7,MON,4,0,32.166666666666664
8,MON,4,0,50.666666666666664
9,MON,4,0,25.833333333333332
10,MON,4,0,15.0
11,MON,4,0,16.666666666666668
12,MON,4,0,19.666666666666668
13,MON,4,0,18.833333333333332
14,MON,4,0,22.5
15,MON,4,0,22.666666666666668
16,MON,4,0,26.5
17,MON,4,0,37.833333333333336
18,MON,4,0,46.0
19,MON,4,0,24.666666666666668
20,MON,4,0,16.5
21,MON,4,0,13.5
22,MON,4,0,13.333333333333334
23,MON,4,0,11.833333333333334
5,TUE,4,0,14.0
6,TUE,4,0,18.166666666666668
7,TUE,4,0,31.5
8,TUE,4,0,52.0
9,TUE,4,0,26.5
10,TUE,4,0,23.166666666666668
11,TUE,4,0,17.5
12,TUE,4,0,20.166666666666668
13,TUE,4,0,21.5
14,TUE,4,0,23.0
15,TUE,4,0,22.0
16,TUE,4,0,27.666666666666668
17,TUE,4,0,40.0
18,TUE,4,0,50.166666666666664
19,TUE,4,0,26.0
20,TUE,4,0,17.833333333333332
21,TUE,4,0,16.5
22,TUE,4,0,19.0
23,TUE,4,0,15.166666666666666
5,WED,4,0,15.0
6,WED,4,0,17.333333333333332
7,WED,4,0,30.833333333333332
8,WED,4,0,51.666666666666664
9,WED,4,0,25.833333333333332
10,WED,4,0,20.0
11,WED,4,0,19.666666666666668
12,WED,4,0,20.666666666666668
13,WED,4,0,21.0
14,WED,4,0,24.5
15,WED,4,0,24.333333333333332
16,WED,4,0,29.166666666666668
17,WED,4,0,43.0
18,WED,4,0,47.5
19,WED,4,0,25.666666666666668
20,WED,4,0,17.5
21,WED,4,0,16.666666666666668
22,WED,4,0,19.833333333333332
23,WED,4,0,13.833333333333334
5,THU,4,0,14.333333333333334
6,THU,4,0,15.0
7,THU,4,0,28.166666666666668
8,THU,4,0,46.833333333333336
9,THU,4,0,22.5
10,THU,4,0,19.666666666666668
11,THU,4,0,19.0
12,THU,4,0,19.666666666666668
13,THU,4,0,20.5
14,THU,4,0,23.166666666666668
15,THU,4,0,21.333333333333332
16,THU,4,0,28.666666666666668
17,THU,4,0,36.833333333333336
18,THU,4,0,45.333333333333336
19,THU,4,0,24.0
20,THU,4,0,18.5
21,THU,4,0,15.0
22,THU,4,0,19.5
23,THU,4,0,18.0
5,FRI,4,0,16.333333333333332
6,FRI,4,0,18.166666666666668
7,FRI,4,0,28.833333333333332
8,FRI,4,0,48.166666666666664
9,FRI,4,0,22.5
10,FRI,4,0,15.833333333333334
11,FRI,4,0,18.333333333333332
12,FRI,4,0,22.166666666666668
13,FRI,4,0,21.833333333333332
14,FRI,4,0,25.833333333333332
15,FRI,4,0,26.0
16,FRI,4,0,35.166666666666664
17,FRI,4,0,48.666666666666664
18,FRI,4,0,49.833333333333336
19,FRI,4,0,26.333333333333332
20,FRI,4,0,18.666666666666668
21,FRI,4,0,18.333333333333332
22,FRI,4,0,25.666666666666668
23,FRI,4,0,23.333333333333332
5,SAT,4,0,9.0
6,SAT,4,0,8.0
7,SAT,4,0,7.666666666666667
8,SAT,4,0,9.5
9,SAT,4,0,17.5
10,SAT,4,0,22.5
11,SAT,4,0,21.833333333333332
12,SAT,4,0,23.0
13,SAT,4,0,29.166666666666668
14,SAT,4,0,26.0
15,SAT,4,0,25.5
16,SAT,4,0,27.5
17,SAT,4,0,26.5
18,SAT,4,0,23.0
19,SAT,4,0,20.666666666666668
20,SAT,4,0,18.833333333333332
21,SAT,4,0,18.833333333333332
22,SAT,4,0,19.166666666666668
23,SAT,4,0,19.666666666666668
5,SUN,4,0,7.666666666666667
6,SUN,4,0,5.5
7,SUN,4,0,5.166666666666667
8,SUN,4,0,8.5
9,SUN,4,0,11.666666666666666
10,SUN,4,0,16.666666666666668
11,SUN,4,0,16.333333333333332
12,SUN,4,0,16.166666666666668
13,SUN,4,0,20.0
14,SUN,4,0,18.0
15,SUN,4,0,17.0
16,SUN,4,0,18.666666666666668
17,SUN,4,0,17.5
18,SUN,4,0,16.5
19,SUN,4,0,17.0
20,SUN,4,0,15.666666666666666
21,SUN,4,0,15.833333333333334
22,SUN,4,0,13.333333333333334
23,SUN,4,0,11.166666666666666
5,MON,4,1,26.0
6,MON,4,1,30.0
7,MON,4,1,47.333333333333336
8,MON,4,1,52.666666666666664
9,MON,4,1,39.833333333333336
10,MON,4,1,24.333333333333332
11,MON,4,1,25.5
12,MON,4,1,28.666666666666668
13,MON,4,1,32.166666666666664
14,MON,4,1,28.333333333333332
15,MON,4,1,35.5
16,MON,4,1,42.666666666666664
17,MON,4,1,53.333333333333336
18,MON,4,1,57.166666666666664
19,MON,4,1,29.166666666666668
20,MON,4,1,23.0
21,MON,4,1,21.833333333333332
22,MON,4,1,21.5
23,MON,4,1,12.333333333333334
5,TUE,4,1,24.333333333333332
6,TUE,4,1,27.5
7,TUE,4,1,44.833333333333336
8,TUE,4,1,54.166666666666664
9,TUE,4,1,39.333333333333336
10,TUE,4,1,24.833333333333332
11,TUE,4,1,26.333333333333332
12,TUE,4,1,29.0
13,TUE,4,1,32.333333333333336
14,TUE,4,1,30.333333333333332
15,TUE,4,1,40.666666666666664
16,TUE,4,1,44.5
17,TUE,4,1,53.833333333333336
18,TUE,4,1,62.5
19,TUE,4,1,28.666666666666668
20,TUE,4,1,23.833333333333332
21,TUE,4,1,23.833333333333332
22,TUE,4,1,29.833333333333332
23,TUE,4,1,15.666666666666666
5,WED,4,1,23.0
6,WED,4,1,25.333333333333332
7,WED,4,1,43.5
8,WED,4,1,54.0
9,WED,4,1,40.833333333333336
10,WED,4,1,25.333333333333332
11,WED,4,1,27.333333333333332
12,WED,4,1,28.833333333333332
13,WED,4,1,32.333333333333336
14,WED,4,1,30.833333333333332
15,WED,4,1,40.5
16,WED,4,1,47.166666666666664
17,WED,4,1,59.0
18,WED,4,1,63.166666666666664
19,WED,4,1,31.333333333333332
20,WED,4,1,23.5
21,WED,4,1,25.0
22,WED,4,1,34.333333333333336
23,WED,4,1,15.333333333333334
5,THU,4,1,23.0
6,THU,4,1,24.5
7,THU,4,1,41.833333333333336
8,THU,4,1,47.833333333333336
9,THU,4,1,35.5
10,THU,4,1,24.166666666666668
11,THU,4,1,25.166666666666668
12,THU,4,1,27.166666666666668
13,THU,4,1,31.5
14,THU,4,1,28.5
15,THU,4,1,35.833333333333336
16,THU,4,1,40.833333333333336
17,THU,4,1,52.833333333333336
18,THU,4,1,56.333333333333336
19,THU,4,1,27.833333333333332
20,THU,4,1,20.833333333333332
21,THU,4,1,23.333333333333332
22,THU,4,1,29.833333333333332
23,THU,4,1,17.166666666666668
5,FRI,4,1,24.333333333333332
6,FRI,4,1,25.833333333333332
7,FRI,4,1,41.833333333333336
8,FRI,4,1,50.5
9,FRI,4,1,38.333333333333336
10,FRI,4,1,24.5
11,FRI,4,1,28.166666666666668
12,FRI,4,1,33.666666666666664
13,FRI,4,1,39.833333333333336
14,FRI,4,1,35.0
15,FRI,4,1,39.5
16,FRI,4,1,50.5
17,FRI,4,1,63.5
18,FRI,4,1,64.33333333333333
19,FRI,4,1,32.0
20,FRI,4,1,23.666666666666668
21,FRI,4,1,25.166666666666668
22,FRI,4,1,36.833333333333336
23,FRI,4,1,20.833333333333332
5,SAT,4,1,19.666666666666668
6,SAT,4,1,17.666666666666668
7,SAT,4,1,17.5
8,SAT,4,1,26.0
9,SAT,4,1,34.0
10,SAT,4,1,34.333333333333336
11,SAT,4,1,36.666666666666664
12,SAT,4,1,33.0
13,SAT,4,1,33.833333333333336
14,SAT,4,1,35.333333333333336
15,SAT,4,1,40.0
16,SAT,4,1,43.5
17,SAT,4,1,48.666666666666664
18,SAT,4,1,42.5
19,SAT,4,1,30.833333333333332
20,SAT,4,1,28.0
21,SAT,4,1,37.0
22,SAT,4,1,29.666666666666668
23,SAT,4,1,36.666666666666664
5,SUN,4,1,10.0
6,SUN,4,1,10.5
7,SUN,4,1,11.333333333333334
8,SUN,4,1,16.333333333333332
9,SUN,4,1,25.833333333333332
10,SUN,4,1,26.5
11,SUN,4,1,28.0
12,SUN,4,1,23.5
13,SUN,4,1,26.5
14,SUN,4,1,26.333333333333332
15,SUN,4,1,29.5
16,SUN,4,1,29.666666666666668
17,SUN,4,1,32.833333333333336
18,SUN,4,1,31.0
19,SUN,4,1,27.333333333333332
20,SUN,4,1,26.833333333333332
21,SUN,4,1,24.166666666666668
22,SUN,4,1,19.333333333333332
23,SUN,4,1,21.0
